country,continent,total_deaths_per_million,median_age,life_expectancy,gdp_per_capita,hospital_beds_per_thousand,health_expenditure_per_capita,health_expenditure_pct_gdp,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population_density,diabetes_prevalence,total_cases_per_million,stringency_index
North Macedonia,Europe,5429.195,39.90999984741211,76.64550018310547,24203.28515625,4.739999771118164,636.65447998,8.41851234,45.547474,8.783276,72.8435368754956,7.400000095367432,191330.34,
Northern Mariana Islands,Oceania,889.3516,35.17900085449219,78.53119659423828,,,,,,,102.128260869565,,325047.2,
Norway,Europe,1050.4332,39.43600082397461,82.63089752197266,91105.25,3.299999952316284,9163.13867188,9.8142643,74.42668,68.60874,14.8470090866665,4.800000190734863,284452.1,35.55030109489051
Oman,Asia,978.3881,28.972999572753903,77.91059875488281,36721.08203125,0.9900000095367432,843.01953125,4.34468651,64.45409,16.486708,14.5409499192246,17.0,84446.016,46.28791058394161
Pakistan,Asia,125.79366,20.14800071716309,67.41670227050781,5500.32373046875,0.6299999952316284,42.79639816,2.99015832,57.64279,21.810516,310.65509677252,31.39999961853028,6485.9526,52.25533759124088
Palau,Oceania,562.3032,37.48400115966797,68.92220306396484,16425.97265625,,1931.31152344,14.55276012,,,38.6586956521739,19.299999237060547,358299.6,
Palestine,Asia,1075.9105,19.604999542236328,76.66239929199219,3845.5029296875,1.2999999523162842,364.4173584,10.4347353,33.49446,6.3515477,817.05377593361,15.5,132552.62,51.668147810218976
Panama,North America,2007.3737,29.27300071716309,79.3240966796875,36394.91796875,1.950000047683716,1417.1541748,9.13571072,72.23046,46.2142,58.5791992450795,11.100000381469728,237615.42,49.97462591240876
Papua New Guinea,Oceania,65.665825,22.12700080871582,65.27359771728516,4288.5283203125,0.6200000047683716,61.02529907,2.33994722,3.1479607,0.33796337,22.1103564015369,14.100000381469728,4593.079,45.19884124087592
Paraguay,South America,2940.6284,26.045000076293945,72.31849670410156,16296.283203125,1.0399999618530271,480.11322021,8.03277016,52.521175,32.61497,16.8240171155298,9.399999618530272,108832.68,43.67991788321168
Peru,South America,6603.9766,29.09600067138672,76.83399963378906,15661.75,1.559999942779541,455.3560791,6.67309427,85.76331,96.00839,25.9030328125,6.400000095367432,135437.02,53.61492700729927
Philippines,Asia,586.70984,24.86599922180176,69.47229766845703,10375.9404296875,0.9700000286102296,208.192276,5.97500563,68.83203,20.893595,379.317000368917,7.5,36622.254,58.48186131386861
Pitcairn,Oceania,0.0,,,,,,,,,,,88888.89,
Poland,Europe,3152.0303,40.86399841308594,77.92289733886719,45153.04296875,6.039999961853027,1183.30236816,6.3654809,59.15184,40.104836,120.815285854296,8.100000381469727,178286.75,39.7922901459854
Portugal,Europe,2847.5366,45.805999755859375,81.193603515625,42197.203125,3.4800000190734863,2764.04296875,11.22031498,85.53044,68.02607,113.113510527741,10.5,544450.94,43.69991788321168
Puerto Rico,North America,1832.1664,45.196998596191406,79.4269027709961,44205.75,,,,,,367.838895152198,10.899999618530272,386523.84,42.5040602189781
Qatar,Asia,238.55077,32.45800018310547,81.85659790039062,110889.7890625,1.25,1847.00231934,2.8927927,98.60714,65.85461,218.007832898172,24.600000381469727,177884.2,52.49036496350365
Reunion,Africa,1056.7465,37.06499862670898,81.5,,,,,,,,,567493.5,
Romania,Europe,3604.936,42.39099884033203,75.26139831542969,40504.0,7.230000019073486,963.01287842,6.45246983,42.337685,,83.1104789638387,7.5,188035.8,44.32344890510949
Russia,Europe,2777.1006,39.07099914550781,72.51740264892578,41704.7109375,6.809999942779541,881.74395752,7.0299139,54.74822,14.307821,8.83848757424343,5.900000095367432,171050.19,41.21682481751824
Rwanda,Africa,107.53771,19.21999931335449,67.52799987792969,3264.64453125,0.75,51.64677429,6.23147202,76.182304,43.06646,541.35630320227,2.0999999046325684,9762.93,53.72778284671533
Saint Barthelemy,North America,456.7044,38.70700073242188,84.28050231933594,,,,,,,,,503014.25,
Saint Helena,Africa,0.0,50.2140007019043,76.73519897460938,,,,,65.76643,,,,403427.1,
Saint Kitts and Nevis,North America,984.33624,34.97100067138672,70.31310272216797,30656.44140625,3.9800000190734863,1132.58447266,6.16912127,57.776257,7.4959345,179.857692307692,13.800000190734863,141380.64,
Saint Lucia,North America,2293.1418,33.316001892089844,72.6698989868164,24252.46875,1.090000033378601,654.8918457,6.26193285,30.74544,4.3994765,292.659016393443,11.399999618530272,169211.5,
Saint Martin (French part),North America,1591.7506,38.400001525878906,80.2354965209961,,,,,,,599.22,,426450.75,
Saint Pierre and Miquelon,North America,347.22223,45.98899841308594,76.69869995117188,,,,,,,,,594791.7,
Saint Vincent and the Grenadines,North America,1214.9359,33.632999420166016,71.19059753417969,18714.19921875,3.2100000381469727,454.784729,5.26607132,30.992622,4.1925087,263.694871794872,8.600000381469727,94784.59,
Samoa,Oceania,144.0052,20.090999603271484,71.55030059814453,7686.24951171875,,285.65393066,7.19651461,82.66549,38.216194,76.8989208633094,25.39999961853028,79235.375,
San Marino,Europe,3693.6064,46.78200149536133,85.70819854736328,70951.7890625,3.3499999046325684,4033.1027832,7.51272249,69.27857,56.71738,570.866666666667,8.600000381469727,741418.25,36.44386861313869
Sao Tome and Principe,Africa,353.49274,18.86899948120117,69.23680114746094,5491.29833984375,2.9100000858306885,187.06524658,7.85889721,49.482796,15.299166,231.209375,12.100000381469728,29918.74,
Saudi Arabia,Asia,299.7947,28.731000900268555,77.30979919433594,62792.7734375,2.4100000858306885,1654.74353027,5.93033648,79.047905,33.547375,14.320382473752,23.100000381469727,26152.598,45.57132299270073
Senegal,Africa,111.72109,18.88800048828125,67.78839874267578,4460.923828125,0.7099999785423279,71.12162781,4.44256258,8.77376,4.622743,89.4451098530099,3.799999952316284,5067.1064,26.638357664233578
Serbia,Europe,2658.8762,43.67499923706055,75.47779846191406,26900.853515625,5.78000020980835,889.09753418,9.23441029,48.271156,28.012836,81.2739445831847,10.5,378136.3,37.32671532846715
Seychelles,Africa,1370.1576,33.38800048828125,71.24810028076172,29241.775390625,2.630000114440918,629.85974121,5.2088151,66.56815,35.796165,215.778260869565,9.300000190734863,413429.12,46.04629562043795
Sierra Leone,Africa,15.223258,19.040000915527344,61.27479934692383,3098.762939453125,,44.90049362,5.07244635,59.949265,14.51899,112.144666112497,4.800000190734863,964.7438,42.7331295620438
Singapore,Asia,358.23718,34.87799835205078,82.92109680175781,132569.53125,2.809999942779541,4050.81054688,5.14599705,92.89906,84.41155,7595.49582172702,11.399999618530272,532073.4,43.58701642335767
Sint Maarten (Dutch part),North America,2182.0078,41.47999954223633,76.1803970336914,47303.1953125,,,,63.498802,21.692005,1222.67647058824,,262101.84,
Slovakia,Europe,3910.1475,40.90399932861328,77.03559875488281,40319.0546875,5.570000171661377,1684.51550293,7.62857914,51.00697,30.813044,113.295486688852,7.099999904632568,345300.5,38.97985401459854
Slovenia,Europe,4686.9585,43.49700164794922,80.79329681396484,48648.90625,4.110000133514404,2779.56591797,9.52724361,57.782104,32.217995,104.689964442502,7.0,646225.4,40.58121350364964
Solomon Islands,Oceania,254.77707,20.030000686645508,70.40859985351562,2353.248046875,,98.80261993,4.94795895,32.56435,3.5570207,27.2451232583065,12.0,33228.562,36.55576642335767
Somalia,Africa,76.45254,15.371000289916992,53.93149948120117,1409.3349609375,0.8700000047683716,15.01879692,2.73509169,43.06752,0.15803936,27.5312127395033,5.800000190734863,1535.4545,29.884972627737227
South Africa,Africa,1644.7195,27.91900062561035,65.45359802246094,13597.654296875,,592.9465332,8.6645031,33.727688,7.0707164,50.6991261983859,7.199999809265137,65298.035,43.85529197080293
South Korea,Asia,693.9408,43.94400024414063,82.72699737548828,55070.9375,12.8100004196167,3125.82714844,8.34412766,85.64171,79.80677,530.425604508197,9.600000381469728,667636.06,40.7510401459854
South Sudan,Africa,13.337961,17.59000015258789,57.202598571777344,,,34.78803635,6.30117083,38.773117,4.655783,17.1945943379805,4.599999904632568,1712.4308,40.3363594890511
Spain,Europe,2548.4028,44.391998291015625,82.36609649658203,48460.29296875,2.9100000858306885,3188.8515625,10.34419918,85.17771,68.818634,94.9382927184248,9.699999809265137,292302.16,44.95896897810219
Sri Lanka,Asia,740.39966,32.56100082397461,77.29959869384766,13752.8369140625,3.930000066757202,202.75497437,5.19427729,64.60631,35.997437,358.163595215002,10.199999809265137,29464.113,51.21667883211679
Sudan,Africa,102.1802,18.1200008392334,65.69499969482422,1861.39794921875,0.6600000262260437,21.69141006,2.9669323,27.167852,7.87991,25.7317580299786,19.0,1295.8418,29.44635948905109
Suriname,South America,2256.199,27.864999771118164,73.25379943847656,19179.1015625,2.869999885559082,270.37786865,5.01704168,38.172287,7.8451858,3.84963678669192,13.800000190734863,132417.69,54.247481751824814
Sweden,Europe,2812.5354,39.72800064086914,83.0459976196289,62978.9375,1.899999976158142,6894.20166016,11.23013592,72.40806,93.7927,25.5740792575133,5.800000190734863,265776.88,36.689361313868616
Switzerland,Europe,1611.6594,41.96099853515625,83.20030212402344,82286.1796875,4.380000114440918,11197.76464844,11.95855618,,55.570267,220.31454103721,5.300000190734863,510905.03,36.35805656934306
Syria,Asia,140.81453,21.58799934387207,72.78980255126953,4454.853515625,1.4299999475479126,53.4726181,3.50403309,10.499275,0.33781686,117.784888090181,19.0,2556.4316,37.512381386861314
Taiwan,Asia,,42.91699981689453,80.15689849853516,,,,,88.783066,108.73844,,,,29.85567518248175
Tajikistan,Asia,12.276292,21.742000579833984,71.5624008178711,4755.93310546875,4.039999961853027,75.10315704,8.37504482,50.99001,52.27241,71.8128683622739,8.0,1746.7689,27.879781021897813
Tanzania,Africa,13.073345,17.124000549316406,66.87860107421875,3713.262939453125,0.8399999737739563,37.53121185,3.46963334,49.706203,11.081998,70.9306976744186,9.800000190734863,674.60626,14.956158759124088
Thailand,Asia,487.89075,39.19400024414063,75.29129791259766,21740.541015625,2.390000104904175,363.72845459,5.15399981,74.56032,44.808372,140.396821233534,10.199999809265137,75670.77,42.96381386861314
Togo,Africa,35.941727,18.113000869750977,62.289798736572266,2960.775390625,0.3300000131130218,52.72237015,5.6165967,19.260626,5.302074,145.912410369553,4.800000190734863,4903.4434,43.53297445255475
Tokelau,Oceania,0.0,26.55500030517578,76.88700103759766,,,,,95.28547,41.86851,,,34602.074,
Tonga,Oceania,123.74706,20.72599983215332,72.63529968261719,7030.4189453125,,348.79745483,7.06254101,73.66758,36.731934,146.513888888889,19.600000381469727,161746.92,45.60529197080293
Transnistria,Europe,,,,,,,,,,,,,
Trinidad and Tobago,North America,2934.643,36.22600173950195,73.33080291748047,31960.15625,2.369999885559082,1170.93859863,7.20521307,48.061897,11.6875,266.580506822612,12.399999618530272,128011.94,52.13927919708029
Tunisia,Africa,2427.773,31.74399948120117,76.05049896240234,12774.916015625,1.820000052452088,285.25247192,7.34183979,52.823357,10.384866,77.5529222451081,16.0,95167.0,49.36921532846715
Turkey,Asia,1164.9528,32.071998596191406,77.59130096435547,36154.4921875,3.049999952316284,431.33978271,4.56065559,61.081894,47.583344,109.334768655068,16.5,195325.34,42.12536496350365
Turkmenistan,Asia,0.0,25.93099975585937,69.91329956054688,18662.298828125,3.5999999046325684,471.86325073,5.49196625,63.19193,52.784176,15.0917008916222,7.099999904632568,0.0,48.85249087591241
Turks and Caicos Islands,North America,893.84985,37.86600112915039,77.9176025390625,33390.52734375,,,,66.95154,16.226645,47.6242105263158,,151191.44,
Tuvalu,Oceania,99.88014,24.256000518798828,66.85160064697266,5812.3994140625,,1122.39929199,18.57411194,94.93607,57.38114,339.8,19.0,293947.25,
Uganda,Africa,76.76583,16.33799934387207,67.67469787597656,2879.670166015625,,51.03484726,5.47374916,27.605951,1.6161913,228.959355675244,2.200000047683716,3640.332,53.76440693430657
Ukraine,Europe,2678.2046,41.45100021362305,72.658203125,16319.8447265625,6.139999866485596,369.90487671,8.2027483,38.347157,8.026986,76.4560579910252,6.0,135339.27,41.49538321167884
United Arab Emirates,Asia,229.34784,30.902999877929688,80.48680114746094,69701.8046875,1.870000004768372,2249.96313477,5.30494308,95.60813,50.17239,134.823317375387,20.700000762939453,104180.94,44.23642335766424
United Kingdom,Europe,3404.4343,39.50400161743164,81.07440185546875,52621.1796875,2.4200000762939453,5645.40136719,12.08347321,74.43005,59.217354,276.848675236639,7.400000095367432,368405.34,43.06886861313868
United States,North America,3625.375,37.720001220703125,77.97889709472656,75489.265625,2.680000066757202,12080.07324219,17.35207748,67.52983,38.960323,36.3053370239915,13.699999809265137,302859.5,48.40324817518248
United States Virgin Islands,North America,1525.6411,44.57099914550781,75.0448989868164,46479.30078125,,,,,,302.485714285714,9.100000381469728,293443.22,37.45260948905109
Uruguay,South America,2269.5952,35.49599838256836,76.46820068359375,32038.7734375,2.440000057220459,1594.98059082,8.91955471,85.616646,92.09122,19.4074677179751,7.800000190734863,307660.8,37.462892335766426
Uzbekistan,Asia,29.079292,26.836000442504883,72.14649963378906,10450.205078125,4.889999866485596,156.44789124,6.92742586,52.81149,46.97636,77.7112512566577,7.5,5013.2583,38.66305656934306
Vanuatu,Oceania,44.71972,20.121000289916992,71.30159759521484,3172.047607421875,,142.56698608,4.58828115,51.82696,8.8471575,25.0917145200984,19.700000762939453,38391.88,29.245483576642336
Vatican,Europe,0.0,59.875,83.33540344238281,,,,,,,,,50682.26,
Venezuela,South America,207.56378,28.809999465942383,72.56559753417969,,0.9900000095367432,162.43952942,4.1022191,53.048817,2.309225,32.0138608922397,8.600000381469727,19591.844,55.20144160583941
Vietnam,Asia,433.44418,31.9379997253418,74.50250244140625,14415.2158203125,2.5199999809265137,168.09350586,4.53792429,86.23695,58.160954,315.653937574379,3.400000095367432,116612.4,54.68280109489051
Wallis and Futuna,Oceania,782.54065,36.5989990234375,78.50050354003906,,,,,59.15138,32.74498,,,326928.1,
Western Sahara,Africa,,31.69799995422364,71.14320373535156,,,,,,,,,,
Yemen,Asia,56.484497,18.11800003051757,67.95169830322266,,0.4600000083446502,49.30105209,9.44125366,2.1114502,0.18032394,70.3453415913783,5.5,312.5092,25.444096715328467
Zambia,Africa,202.35266,17.288000106811523,65.27909851074219,3708.069091796875,,74.83802795,6.63951397,45.719406,7.019419,26.3705551594721,10.300000190734863,17361.838,31.79153284671533
Zimbabwe,Africa,357.2082,17.683000564575195,62.36009979248047,5215.2529296875,1.950000047683716,60.89874268,2.67111874,35.236153,14.313021,40.8354917926845,1.5,16580.682,53.75140510948905
